[2026-05-30T22:41:10Z] state=RUNNING|1:08|7:58:52|slinky-2 | ckpts=[] | <no step line yet>
[2026-05-30T22:44:15Z] state=RUNNING|4:12|7:55:48|slinky-2 | ckpts=[] | <no step line yet>
[2026-05-30T22:47:18Z] state=RUNNING|7:15|7:52:45|slinky-2 | ckpts=[] | <no step line yet>
[2026-05-30T22:50:21Z] state=RUNNING|10:19|7:49:41|slinky-2 | ckpts=[] | <no step line yet>
[2026-05-30T22:53:24Z] state=RUNNING|13:22|7:46:38|slinky-2 | ckpts=[] | <no step line yet>
[2026-05-30T22:56:28Z] state=RUNNING|16:25|7:43:35|slinky-2 | ckpts=[] | 22:55:55.510 [I] Step 0: grad_norm=0.4305, loss=0.0939, param_norm=1803.8630                      (36600:train.py:268)
[2026-05-30T22:59:31Z] state=RUNNING|19:28|7:40:32|slinky-2 | ckpts=[] | 22:58:00.513 [I] Step 100: grad_norm=0.2365, loss=0.0511, param_norm=1803.8638                    (36600:train.py:268)
[2026-05-30T23:02:34Z] state=RUNNING|22:32|7:37:28|slinky-2 | ckpts=[] | 23:02:10.985 [I] Step 300: grad_norm=0.1225, loss=0.0165, param_norm=1803.8839                    (36600:train.py:268)
[2026-05-30T23:05:38Z] state=RUNNING|25:36|7:34:24|slinky-2 | ckpts=[] | 23:04:16.620 [I] Step 400: grad_norm=0.0944, loss=0.0144, param_norm=1803.9121                    (36600:train.py:268)
[2026-05-30T23:08:41Z] state=RUNNING|28:39|7:31:21|slinky-2 | ckpts=[] | 23:08:27.897 [I] Step 600: grad_norm=0.0899, loss=0.0126, param_norm=1804.0312                    (36600:train.py:268)
[2026-05-30T23:11:45Z] state=RUNNING|31:42|7:28:18|slinky-2 | ckpts=[] | 23:10:33.537 [I] Step 700: grad_norm=0.2803, loss=0.0141, param_norm=1804.1089                    (36600:train.py:268)
[2026-05-30T23:14:48Z] state=RUNNING|34:46|7:25:14|slinky-2 | ckpts=[] | 23:12:39.101 [I] Step 800: grad_norm=0.0947, loss=0.0110, param_norm=1804.1823                    (36600:train.py:268)
[2026-05-30T23:17:52Z] state=RUNNING|37:49|7:22:11|slinky-2 | ckpts=[] | 23:17:04.846 [I] Step 1000: grad_norm=0.0651, loss=0.0088, param_norm=1804.3236                   (36600:train.py:268)
[2026-05-30T23:20:55Z] state=RUNNING|40:53|7:19:07|slinky-2 | ckpts=[] | 23:19:10.367 [I] Step 1100: grad_norm=0.0598, loss=0.0087, param_norm=1804.3918                   (36600:train.py:268)
[2026-05-30T23:23:59Z] state=RUNNING|43:57|7:16:03|slinky-2 | ckpts=[] | 23:23:21.504 [I] Step 1300: grad_norm=0.0537, loss=0.0078, param_norm=1804.5331                   (36600:train.py:268)
[2026-05-30T23:27:02Z] state=RUNNING|47:00|7:13:00|slinky-2 | ckpts=[] | 23:25:27.045 [I] Step 1400: grad_norm=0.0551, loss=0.0076, param_norm=1804.6062                   (36600:train.py:268)
[2026-05-30T23:30:06Z] state=RUNNING|50:04|7:09:56|slinky-2 | ckpts=[] | 23:29:37.999 [I] Step 1600: grad_norm=0.0599, loss=0.0071, param_norm=1804.7440                   (36600:train.py:268)
[2026-05-30T23:33:09Z] state=RUNNING|53:07|7:06:53|slinky-2 | ckpts=[] | 23:31:55.981 [I] Step 1700: grad_norm=0.0625, loss=0.0075, param_norm=1804.8143                   (36600:train.py:268)
[2026-05-30T23:36:13Z] state=RUNNING|56:10|7:03:50|slinky-2 | ckpts=[] | 23:36:06.450 [I] Step 1900: grad_norm=0.0528, loss=0.0067, param_norm=1804.9528                   (36600:train.py:268)
[2026-05-30T23:39:16Z] state=RUNNING|59:14|7:00:46|slinky-2 | ckpts=[2000 ] | 23:38:11.886 [I] Step 2000: grad_norm=0.0489, loss=0.0061, param_norm=1805.0212                   (36600:train.py:268)
[2026-05-30T23:42:20Z] state=RUNNING|1:02:18|6:57:42|slinky-2 | ckpts=[2000 ] | 23:40:20.850 [I] Step 2100: grad_norm=0.0504, loss=0.0062, param_norm=1805.0872                   (36600:train.py:268)
[2026-05-30T23:45:23Z] state=RUNNING|1:05:21|6:54:39|slinky-2 | ckpts=[2000 ] | 23:44:31.327 [I] Step 2300: grad_norm=0.0470, loss=0.0057, param_norm=1805.2159                   (36600:train.py:268)
[2026-05-30T23:48:27Z] state=RUNNING|1:08:25|6:51:35|slinky-2 | ckpts=[2000 ] | 23:46:36.547 [I] Step 2400: grad_norm=0.0455, loss=0.0056, param_norm=1805.2784                   (36600:train.py:268)
[2026-05-30T23:51:30Z] state=RUNNING|1:11:28|6:48:32|slinky-2 | ckpts=[2000 ] | 23:51:01.141 [I] Step 2600: grad_norm=0.0480, loss=0.0058, param_norm=1805.4025                   (36600:train.py:268)
[2026-05-30T23:54:34Z] state=RUNNING|1:14:32|6:45:28|slinky-2 | ckpts=[2000 ] | 23:53:06.961 [I] Step 2700: grad_norm=0.0480, loss=0.0055, param_norm=1805.4634                   (36600:train.py:268)
[2026-05-30T23:57:38Z] state=RUNNING|1:17:35|6:42:25|slinky-2 | ckpts=[2000 ] | 23:57:17.745 [I] Step 2900: grad_norm=0.0500, loss=0.0055, param_norm=1805.5778                   (36600:train.py:268)
[2026-05-31T00:01:19Z] state=RUNNING|1:21:16|6:38:44|slinky-2 | ckpts=[2000 ] | 23:59:23.154 [I] Step 3000: grad_norm=0.0430, loss=0.0050, param_norm=1805.6329                   (36600:train.py:268)
